Feature Set,Clinic R²,Clinic MAE (m),Clinic ρ,Home R²,Home MAE (m),Home ρ
Demo,0.363,61.9,0.594,0.362,60.8,0.595
PerBout-Top20,0.604,46.0,0.778,0.184,67.5,0.451
PerBout-Top20+Demo,0.656,40.7,0.825,0.454,55.5,0.659
Gait,0.682,42.7,0.801,-265553023550964.75,162970646.9,0.288
Gait+Demo,0.78,34.5,0.869,-108235551151225.31,104044420.0,0.481
Gait+PerBout-Top20,0.656,43.8,0.79,-659788832786099.5,256883470.5,0.3
Gait+PerBout-Top20+Demo,0.748,35.7,0.859,-390266864019031.44,197567053.1,0.5
CWT,0.335,60.1,0.624,-0.448,91.0,0.169
CWT+Demo,0.53,52.0,0.738,0.007,75.3,0.424
CWT+PerBout-Top20,0.625,41.2,0.817,-0.274,81.5,0.295
CWT+PerBout-Top20+Demo,0.735,35.8,0.881,0.063,70.7,0.479
WalkSway,0.403,54.2,0.715,-0.203,82.3,0.165
WalkSway+Demo,0.525,52.9,0.719,0.143,69.8,0.478
WalkSway+PerBout-Top20,0.58,46.5,0.791,-0.148,82.9,0.224
WalkSway+PerBout-Top20+Demo,0.638,41.5,0.825,0.232,68.8,0.532
Gait+CWT,0.71,37.5,0.832,-329604374518393.2,181564215.7,0.188
Gait+CWT+Demo,0.791,33.7,0.876,-203539569180167.6,142678392.4,0.391
Gait+CWT+PerBout-Top20,0.741,34.7,0.851,-517863061458315.1,227583715.7,0.225
Gait+CWT+PerBout-Top20+Demo,0.797,32.7,0.885,-348153574936817.6,186603226.4,0.432
Gait+WalkSway,0.68,41.3,0.814,-279289968837485.88,167132700.3,0.191
Gait+WalkSway+Demo,0.771,33.2,0.871,-113194418129970.92,106401152.5,0.425
Gait+WalkSway+PerBout-Top20,0.633,43.6,0.786,-541001584086077.0,232612458.8,0.199
Gait+WalkSway+PerBout-Top20+Demo,0.734,35.4,0.851,-295749101869715.0,171986925.7,0.452
CWT+WalkSway,0.486,51.7,0.72,-0.613,97.7,0.137
CWT+WalkSway+Demo,0.615,45.0,0.791,-0.194,85.7,0.364
CWT+WalkSway+PerBout-Top20,0.619,42.6,0.817,-0.501,91.1,0.201
CWT+WalkSway+PerBout-Top20+Demo,0.734,35.3,0.882,-0.102,79.5,0.398
Gait+CWT+WalkSway,0.74,35.2,0.85,-288348877682346.6,169821598.1,0.134
Gait+CWT+WalkSway+Demo,0.806,31.2,0.88,-176919756299961.47,133021541.3,0.339
Gait+CWT+WalkSway+PerBout-Top20,0.742,35.0,0.851,-425047311047458.1,206182773.4,0.155
Gait+CWT+WalkSway+PerBout-Top20+Demo,0.804,30.5,0.886,-282873112755652.9,168201390.6,0.357
