Feature Set,Clinic R²,Clinic MAE (m),Clinic ρ,Home R²,Home MAE (m),Home ρ
Demo,0.363,61.9,0.594,0.362,60.8,0.595
PerBout-Top20,0.604,46.0,0.778,0.184,67.5,0.451
PerBout-Top20+Demo,0.656,40.7,0.825,0.454,55.5,0.659
Gait,0.682,42.7,0.801,0.086,72.9,0.34
Gait+Demo,0.78,34.5,0.869,0.36,61.0,0.546
Gait+PerBout-Top20,0.656,43.8,0.79,0.186,70.9,0.402
Gait+PerBout-Top20+Demo,0.748,35.7,0.859,0.457,56.8,0.599
CWT,0.211,63.7,0.577,0.073,71.4,0.365
CWT+Demo,0.478,53.6,0.721,0.268,65.5,0.526
CWT+PerBout-Top20,0.521,44.4,0.774,0.196,68.3,0.516
CWT+PerBout-Top20+Demo,0.667,38.6,0.867,0.37,60.6,0.618
WalkSway,0.403,54.2,0.715,0.039,73.8,0.317
WalkSway+Demo,0.525,52.9,0.719,0.288,63.9,0.552
WalkSway+PerBout-Top20,0.58,46.5,0.791,0.076,73.5,0.361
WalkSway+PerBout-Top20+Demo,0.638,41.5,0.825,0.333,61.3,0.586
Gait+CWT,0.602,44.0,0.8,0.129,69.6,0.407
Gait+CWT+Demo,0.725,36.6,0.873,0.311,62.5,0.548
Gait+CWT+PerBout-Top20,0.605,43.1,0.799,0.206,68.4,0.497
Gait+CWT+PerBout-Top20+Demo,0.702,37.0,0.868,0.398,58.8,0.625
Gait+WalkSway,0.682,40.7,0.805,0.147,69.3,0.377
Gait+WalkSway+Demo,0.779,32.8,0.867,0.335,61.8,0.573
Gait+WalkSway+PerBout-Top20,0.65,42.5,0.785,0.121,71.7,0.37
Gait+WalkSway+PerBout-Top20+Demo,0.749,34.4,0.857,0.378,59.5,0.587
CWT+WalkSway,0.489,50.8,0.716,0.072,73.1,0.411
CWT+WalkSway+Demo,0.6,44.8,0.771,0.232,66.2,0.511
CWT+WalkSway+PerBout-Top20,0.598,44.3,0.823,0.088,73.2,0.425
CWT+WalkSway+PerBout-Top20+Demo,0.703,37.5,0.866,0.286,63.8,0.57
Gait+CWT+WalkSway,0.703,40.6,0.82,0.137,68.8,0.396
Gait+CWT+WalkSway+Demo,0.782,32.1,0.876,0.281,63.8,0.543
Gait+CWT+WalkSway+PerBout-Top20,0.664,41.3,0.816,0.167,69.8,0.456
Gait+CWT+WalkSway+PerBout-Top20+Demo,0.741,33.5,0.862,0.355,60.9,0.592
